ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P	TWAS.FDR	trait_full_name	GWAS_name	cell_type	gene	trait	method	p_value	significance	log10_p	direction	symbol	GWAS
ENSG00000154080_CHST9	18	26906481	27185308	0.555	rs12966078	3.92	rs12969569	-0.001524	3.4	2.7998	4804	4804	bslmm	0.012	0.17	4.4193	9.9e-06	0.0126621	Dementia	GCST90476928_Cognitive_Neurodegenerative.h.FUSION.txt	Astrocyte	ENSG00000154080_CHST9	Dementia	TWAS	9.9e-06	TRUE	5.00436480540245	Positive	CHST9	GCST90476928_Cognitive_Neurodegenerative.h.FUSION
ENSG00000167220_HDHD2	18	47107408	47150500	0.53	rs12963648	3.84	rs450997	-0.012536	3.95	-1.9188	4172	77	enet	0.051	0.03	-4.4037	1.06e-05	0.0136104	SubstanceUseDisorders	pgc_alcdep.afr_unrel_genotyped.aug2018_release.txt	Astrocyte	ENSG00000167220_HDHD2	SubstanceUseDisorders	TWAS	1.06e-05	TRUE	4.97469413473523	Negative	HDHD2	pgc_alcdep.afr_unrel_genotyped.aug2018_release
ENSG00000290665_ENSG00000290665	15	77918420	77926846	0.488	rs7176041	-4.33	rs62008593	0.10244	4.71	-3.2993	4958	40	enet	0.13	0.0011	-4.4015	1.08e-05	0.0138132	Alzheimers_or_Other_Dementia	GCST90477006_Cognitive_Neurodegenerative.h.FUSION.txt	Astrocyte	ENSG00000290665_ENSG00000290665	Alzheimers_or_Other_Dementia	TWAS	1.08e-05	TRUE	4.96657624451305	Negative	ENSG00000290665	GCST90477006_Cognitive_Neurodegenerative.h.FUSION
ENSG00000249752_ENSG00000249752	4	149027445	149062522	0.572	rs17024715	-3.4	rs139924436	0.041883	3.71	1.22573	4368	4368	bslmm	0.069	0.014	4.3319	1.48e-05	0.0189292	Do_you_smoke_now	GCST90479468_SubstanceUse.h.FUSION.txt	Astrocyte	ENSG00000249752_ENSG00000249752	Do_you_smoke_now	TWAS	1.48e-05	TRUE	4.82973828460504	Positive	ENSG00000249752	GCST90479468_SubstanceUse.h.FUSION
ENSG00000172613_RAD9A	11	67317871	67398410	0.396	rs409971	3.23	rs58428477	-0.013649	3.64	0.19371	4094	4094	blup	0.12	0.0017	4.2328	2.31e-05	0.0295449	Hemiplegia	GCST90477544_OtherNeurological.h.FUSION.txt	Astrocyte	ENSG00000172613_RAD9A	Hemiplegia	TWAS	2.31e-05	TRUE	4.63638802010786	Positive	RAD9A	GCST90477544_OtherNeurological.h.FUSION
ENSG00000143437_ARNT	1	150809713	150876708	0.293	rs74127548	-4.22	rs74127548	0.086085	4.08	-4.22457	3517	1	top1	0.086	0.0064	-4.2246	2.39e-05	0.0305681	Depression	GCST90476683_MoodDisorders.h.FUSION.txt	Astrocyte	ENSG00000143437_ARNT	Depression	TWAS	2.39e-05	TRUE	4.62160209905186	Negative	ARNT	GCST90476683_MoodDisorders.h.FUSION
ENSG00000154080_CHST9	18	26906481	27185308	0.555	rs562562	4.12	rs12969569	-0.001524	3.4	3.21642	4804	4804	bslmm	0.012	0.17	4.179	2.93e-05	0.0374747	Concussion_or_loss_of_consciousness	GCST90476935_Brain_Cerebrovascular.h.FUSION.txt	Astrocyte	ENSG00000154080_CHST9	Concussion_or_loss_of_consciousness	TWAS	2.93e-05	TRUE	4.53313237964589	Positive	CHST9	GCST90476935_Brain_Cerebrovascular.h.FUSION
ENSG00000163923_RPL39L	3	187120948	187180908	0.683	rs76322098	3.8	rs59709368	-0.013425	3.67	-1.4166	5560	5560	bslmm	0.0059	0.24	-4.16155	3.16e-05	0.0404164	Chronic_pain	GCST90477532_OtherNeurological.h.FUSION.txt	Astrocyte	ENSG00000163923_RPL39L	Chronic_pain	TWAS	3.16e-05	TRUE	4.5003129173816	Negative	RPL39L	GCST90477532_OtherNeurological.h.FUSION
ENSG00000198646_NCOA6	20	34689097	34825651	0.431	rs35942013	-4.22	rs111791657	0.036973	-4.34	-4.123	3677	1	top1	0.037	0.055	4.12335	3.73e-05	0.0477067	Hypersomnia	GCST90477481_SleepDisorders.h.FUSION.txt	Astrocyte	ENSG00000198646_NCOA6	Hypersomnia	TWAS	3.73e-05	TRUE	4.42829116819131	Positive	NCOA6	GCST90477481_SleepDisorders.h.FUSION
ENSG00000167964_RAB26	16	2140803	2154165	0.736	rs238677	4.48	rs73483753	-0.013716	3.41	-3.662	5017	5017	bslmm	0.31	1.2e-07	-4.6944	2.67e-06	0.00573249	Feeling_unsatisfied_or_not_rested_by_your_nights_sleep	GCST90479446_SleepDisorders.h.FUSION.txt	Excitatory_neuron	ENSG00000167964_RAB26	Feeling_unsatisfied_or_not_rested_by_your_nights_sleep	TWAS	2.67e-06	TRUE	5.57348873863543	Negative	RAB26	GCST90479446_SleepDisorders.h.FUSION
ENSG00000119285_HEATR1	1	236549005	236604516	0.578	rs59648162	3.83	rs74147260	0.0348	4.31	2.7007	6691	46	enet	0.081	0.0082	4.51917	6.21e-06	0.01333287	Stroke_or_Transient_Ischemic_Attack	GCST90476994_Brain_Cerebrovascular.h.FUSION.txt	Excitatory_neuron	ENSG00000119285_HEATR1	Stroke_or_Transient_Ischemic_Attack	TWAS	6.21e-06	TRUE	5.20690839982342	Positive	HEATR1	GCST90476994_Brain_Cerebrovascular.h.FUSION
ENSG00000267390_KDSR-DT	18	63367295	63381631	0.711	rs655014	4.49	rs655014	0.078661	-4.06	4.4875	4843	1	top1	0.079	0.0089	-4.4875	7.21e-06	0.01547987	Hereditary_and_idiopathic_peripheral_neuropathy	GCST90477606_SpinalCord_Nerves.h.FUSION.txt	Excitatory_neuron	ENSG00000267390_KDSR-DT	Hereditary_and_idiopathic_peripheral_neuropathy	TWAS	7.21e-06	TRUE	5.14206473528057	Negative	KDSR-DT	GCST90477606_SpinalCord_Nerves.h.FUSION
ENSG00000233358_ENSG00000233358	6	22744395	23031780	0.395	rs7739914	-4.55	rs6930352	0.366714	5.11	-4.48173	6793	1	top1	0.37	6.6e-09	-4.48173	7.4e-06	0.0158878	Abnormal_involuntary_movements	GCST90477576_Movement_Motor.h.FUSION.txt	Excitatory_neuron	ENSG00000233358_ENSG00000233358	Abnormal_involuntary_movements	TWAS	7.4e-06	TRUE	5.13076828026902	Negative	ENSG00000233358	GCST90477576_Movement_Motor.h.FUSION
