ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P	TWAS.FDR	trait_full_name	GWAS_name	cell_type	gene	trait	method	p_value	significance	log10_p	direction	symbol	GWAS
ENSG00000154080_CHST9	18	26906481	27185308	0.555	rs12966078	3.92	rs12969569	-0.001524	3.4	2.7998	4804	4804	bslmm	0.012	0.17	4.4193	9.9e-06	0.0126621	Dementia	GCST90476928_Cognitive_Neurodegenerative.h.FUSION.txt	Astrocyte	ENSG00000154080_CHST9	Dementia	TWAS	9.9e-06	TRUE	5.00436480540245	Positive	CHST9	GCST90476928_Cognitive_Neurodegenerative.h.FUSION
ENSG00000167220_HDHD2	18	47107408	47150500	0.53	rs12963648	3.84	rs450997	-0.012536	3.95	-1.9188	4172	77	enet	0.051	0.03	-4.4037	1.06e-05	0.0136104	SubstanceUseDisorders	pgc_alcdep.afr_unrel_genotyped.aug2018_release.txt	Astrocyte	ENSG00000167220_HDHD2	SubstanceUseDisorders	TWAS	1.06e-05	TRUE	4.97469413473523	Negative	HDHD2	pgc_alcdep.afr_unrel_genotyped.aug2018_release
ENSG00000290665_ENSG00000290665	15	77918420	77926846	0.488	rs7176041	-4.33	rs62008593	0.10244	4.71	-3.2993	4958	40	enet	0.13	0.0011	-4.4015	1.08e-05	0.0138132	Alzheimers_or_Other_Dementia	GCST90477006_Cognitive_Neurodegenerative.h.FUSION.txt	Astrocyte	ENSG00000290665_ENSG00000290665	Alzheimers_or_Other_Dementia	TWAS	1.08e-05	TRUE	4.96657624451305	Negative	ENSG00000290665	GCST90477006_Cognitive_Neurodegenerative.h.FUSION
ENSG00000249752_ENSG00000249752	4	149027445	149062522	0.572	rs17024715	-3.4	rs139924436	0.041883	3.71	1.22573	4368	4368	bslmm	0.069	0.014	4.3319	1.48e-05	0.0189292	Do_you_smoke_now	GCST90479468_SubstanceUse.h.FUSION.txt	Astrocyte	ENSG00000249752_ENSG00000249752	Do_you_smoke_now	TWAS	1.48e-05	TRUE	4.82973828460504	Positive	ENSG00000249752	GCST90479468_SubstanceUse.h.FUSION
ENSG00000172613_RAD9A	11	67317871	67398410	0.396	rs409971	3.23	rs58428477	-0.013649	3.64	0.19371	4094	4094	blup	0.12	0.0017	4.2328	2.31e-05	0.0295449	Hemiplegia	GCST90477544_OtherNeurological.h.FUSION.txt	Astrocyte	ENSG00000172613_RAD9A	Hemiplegia	TWAS	2.31e-05	TRUE	4.63638802010786	Positive	RAD9A	GCST90477544_OtherNeurological.h.FUSION
ENSG00000143437_ARNT	1	150809713	150876708	0.293	rs74127548	-4.22	rs74127548	0.086085	4.08	-4.22457	3517	1	top1	0.086	0.0064	-4.2246	2.39e-05	0.0305681	Depression	GCST90476683_MoodDisorders.h.FUSION.txt	Astrocyte	ENSG00000143437_ARNT	Depression	TWAS	2.39e-05	TRUE	4.62160209905186	Negative	ARNT	GCST90476683_MoodDisorders.h.FUSION
ENSG00000154080_CHST9	18	26906481	27185308	0.555	rs562562	4.12	rs12969569	-0.001524	3.4	3.21642	4804	4804	bslmm	0.012	0.17	4.179	2.93e-05	0.0374747	Concussion_or_loss_of_consciousness	GCST90476935_Brain_Cerebrovascular.h.FUSION.txt	Astrocyte	ENSG00000154080_CHST9	Concussion_or_loss_of_consciousness	TWAS	2.93e-05	TRUE	4.53313237964589	Positive	CHST9	GCST90476935_Brain_Cerebrovascular.h.FUSION
ENSG00000163923_RPL39L	3	187120948	187180908	0.683	rs76322098	3.8	rs59709368	-0.013425	3.67	-1.4166	5560	5560	bslmm	0.0059	0.24	-4.16155	3.16e-05	0.0404164	Chronic_pain	GCST90477532_OtherNeurological.h.FUSION.txt	Astrocyte	ENSG00000163923_RPL39L	Chronic_pain	TWAS	3.16e-05	TRUE	4.5003129173816	Negative	RPL39L	GCST90477532_OtherNeurological.h.FUSION
ENSG00000198646_NCOA6	20	34689097	34825651	0.431	rs35942013	-4.22	rs111791657	0.036973	-4.34	-4.123	3677	1	top1	0.037	0.055	4.12335	3.73e-05	0.0477067	Hypersomnia	GCST90477481_SleepDisorders.h.FUSION.txt	Astrocyte	ENSG00000198646_NCOA6	Hypersomnia	TWAS	3.73e-05	TRUE	4.42829116819131	Positive	NCOA6	GCST90477481_SleepDisorders.h.FUSION
ENSG00000154080_CHST9	18	26906481	27185308	0.555	rs151288431	4.12	rs12969569	-0.001524	3.4	-1.8916	4804	4804	bslmm	0.012	0.17	-4.0762	4.58e-05	0.0585782	Bipolar_Disorder	GCST90479398_MoodDisorders.h.FUSION.txt	Astrocyte	ENSG00000154080_CHST9	Bipolar_Disorder	TWAS	4.58e-05	FALSE	4.33913452199613	Negative	CHST9	GCST90479398_MoodDisorders.h.FUSION
ENSG00000168066_SF1	11	64764606	64778786	0.3	rs10128590	-4.17	rs9666331	-0.012594	3.77	2.3027	3590	10	enet	-0.0093	0.57	4.05012	5.12e-05	0.0654848	In_your_lifetime_have_you_smoked_a_total_of_at_least_100_cigarettes	GCST90479457_SubstanceUse.h.FUSION.txt	Astrocyte	ENSG00000168066_SF1	In_your_lifetime_have_you_smoked_a_total_of_at_least_100_cigarettes	TWAS	5.12e-05	FALSE	4.29073003902417	Positive	SF1	GCST90479457_SubstanceUse.h.FUSION
ENSG00000082516_GEMIN5	5	154887411	154938211	0.469	rs12521748	3.8	rs72492477	0.00437	-3.34	0.1557	4849	4849	bslmm	0.026	0.089	-4.0025	6.27e-05	0.0801933	Abnormal_movement	GCST90477574_Movement_Motor.h.FUSION.txt	Astrocyte	ENSG00000082516_GEMIN5	Abnormal_movement	TWAS	6.27e-05	FALSE	4.20273245916928	Negative	GEMIN5	GCST90477574_Movement_Motor.h.FUSION
ENSG00000178295_GEN1	2	17753858	17788946	0.422	rs300158	-3.6	rs1471343	-0.013756	-3.82	0.328	4972	4972	bslmm	0.0098	0.19	-3.94386	8.02e-05	0.1025758	Cerebral_ischemia	GCST90477993_Brain_Cerebrovascular.h.FUSION.txt	Astrocyte	ENSG00000178295_GEN1	Cerebral_ischemia	TWAS	8.02e-05	FALSE	4.09582563171584	Negative	GEN1	GCST90477993_Brain_Cerebrovascular.h.FUSION
